Price,Adj Close,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volatility
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,,,,,,,,,
2020-01-01,12182.5,12182.5,12222.2001953125,12165.2998046875,12202.150390625,304100,,,,
2020-01-02,12282.2001953125,12282.2001953125,12289.900390625,12195.25,12198.5498046875,407700,,,0.008183886337984836,
2020-01-03,12226.650390625,12226.650390625,12265.599609375,12191.349609375,12261.099609375,428800,,,-0.004522789386603554,
2020-01-06,11993.0498046875,11993.0498046875,12179.099609375,11974.2001953125,12170.599609375,396500,,,-0.019105853072941215,
2020-01-07,12052.9501953125,12052.9501953125,12152.150390625,12005.349609375,12079.099609375,447800,,,0.004994592001242859,
2020-01-08,12025.349609375,12025.349609375,12044.9501953125,11929.599609375,11939.099609375,446000,,,-0.0022899444111396106,
2020-01-09,12215.900390625,12215.900390625,12224.0498046875,12132.5498046875,12153.150390625,477500,,,0.015845758122611686,
2020-01-10,12256.7998046875,12256.7998046875,12311.2001953125,12213.2001953125,12271.0,660600,,,0.0033480474426501594,
2020-01-13,12329.5498046875,12329.5498046875,12337.75,12285.7998046875,12296.7001953125,501000,,,0.0059354808073293075,
2020-01-14,12362.2998046875,12362.2998046875,12374.25,12308.7001953125,12333.099609375,616300,,,0.0026562202609821117,
2020-01-15,12343.2998046875,12343.2998046875,12355.150390625,12278.75,12349.400390625,684400,,,-0.0015369308543056182,
2020-01-16,12355.5,12355.5,12389.0498046875,12315.7998046875,12347.099609375,395700,,,0.000988406301843714,
2020-01-17,12352.349609375,12352.349609375,12385.4501953125,12321.400390625,12328.400390625,502100,,,-0.000254978804985595,
2020-01-20,12224.5498046875,12224.5498046875,12430.5,12216.900390625,12430.5,491600,,,-0.010346193941151438,
2020-01-21,12169.849609375,12169.849609375,12230.0498046875,12162.2998046875,12195.2998046875,400,,,-0.004474618385662321,
2020-01-22,12106.900390625,12106.900390625,12225.0498046875,12087.900390625,12218.349609375,500,,,-0.005172555189302153,
2020-01-23,12180.349609375,12180.349609375,12189.0,12094.099609375,12123.75,867700,,,0.0060667236352978104,
2020-01-24,12248.25,12248.25,12272.150390625,12149.650390625,12174.5498046875,593200,,,0.005574584704263197,
2020-01-27,12119.0,12119.0,12216.599609375,12107.0,12197.099609375,441200,,,-0.010552527912150667,
2020-01-28,12055.7998046875,12055.7998046875,12163.5498046875,12024.5,12148.099609375,478500,12204.154931640625,,-0.005214967844912932,
2020-01-29,12129.5,12129.5,12169.599609375,12103.7998046875,12114.900390625,514400,12201.504931640626,,0.006113256399948197,0.007905892413645137
2020-01-30,12035.7998046875,12035.7998046875,12150.2998046875,12010.599609375,12147.75,538100,12189.184912109375,,-0.0077249841553650445,0.007819057681880756
2020-01-31,11962.099609375,11962.099609375,12103.5498046875,11945.849609375,12100.400390625,771300,12175.957373046875,,-0.006123414854723341,0.007865243760354928
2020-02-03,11707.900390625,11707.900390625,11749.849609375,11614.5,11627.4501953125,669800,12161.69990234375,,-0.021250384719316173,0.00813417789957122
2020-02-04,11979.650390625,11979.650390625,11986.150390625,11783.400390625,11786.25,560400,12158.034912109375,,0.02321082268667074,0.009725161328146695
2020-02-05,12089.150390625,12089.150390625,12098.150390625,11953.349609375,12005.849609375,758000,12161.224951171875,,0.009140500467834434,0.009933237642139305
2020-02-06,12137.9501953125,12137.9501953125,12160.599609375,12084.650390625,12120.0,565100,12157.32744140625,,0.004036661230167438,0.00929148968247023
2020-02-07,12098.349609375,12098.349609375,12154.7001953125,12073.9501953125,12151.150390625,473500,12149.404931640625,,-0.0032625431230384194,0.009273233488187755
2020-02-10,12031.5,12031.5,12103.5498046875,11990.75,12102.349609375,524700,12134.50244140625,,-0.005525514763038308,0.009201331080643487
2020-02-11,12107.900390625,12107.900390625,12172.2998046875,12099.0,12108.400390625,480000,12121.782470703125,,0.006350030388978967,0.009318762368360205
2020-02-12,12201.2001953125,12201.2001953125,12231.75,12144.2998046875,12151.0,411700,12114.677490234375,,0.0077056964194832656,0.009517680552864224
2020-02-13,12174.650390625,12174.650390625,12225.650390625,12139.7998046875,12219.5498046875,501200,12105.635009765625,,-0.0021759994314084485,0.009517311082834021
2020-02-14,12113.4501953125,12113.4501953125,12246.7001953125,12091.2001953125,12190.150390625,622800,12093.6900390625,,-0.005026854435148831,0.009565417834132183
2020-02-17,12045.7998046875,12045.7998046875,12159.599609375,12037.0,12131.7998046875,0,12084.7525390625,,-0.00558473346026378,0.009376174460333706
2020-02-18,11992.5,11992.5,12030.75,11908.0498046875,12028.25,676900,12075.88505859375,,-0.004424762618648104,0.009375123147867953
2020-02-19,12125.900390625,12125.900390625,12134.7001953125,12042.099609375,12090.599609375,513600,12076.83505859375,,0.011123651500938081,0.00966878659406228
2020-02-20,12080.849609375,12080.849609375,12152.0,12071.4501953125,12119.0,502600,12071.86005859375,,-0.003715252459506435,0.009599447824567887
2020-02-24,11829.400390625,11829.400390625,12012.5498046875,11813.400390625,12012.5498046875,490800,12050.917578125,,-0.02081386879900149,0.01051021574435756
2020-02-25,11797.900390625,11797.900390625,11883.0498046875,11779.900390625,11877.5,461000,12034.86259765625,,-0.002662856861702312,0.010305978990686394
2020-02-26,11678.5,11678.5,11783.25,11639.599609375,11738.5498046875,567600,12015.997607421876,,-0.010120477938589723,0.01046147595669257
